indexNoteChord,ChordNotes
"('D', '9sus4')","D,G,A,C,E"
"('D', 'add9')","D,F#,A,E"
"('D', 'augsus4')","D,G,A#"
"('D', 'm11')","D,F,A,C,E,G"
"('D', 'm13')","D,F,A,C,E,B"
"('D', 'm6')","D,F,A,B"
"('D', 'm6add9')","D,F,A,B,E"
"('D', 'm7')","D,F,A,C"
"('D', 'm7add11')","D,F,A,C,G"
"('D', 'm7add13')","D,F,A,C,B"
"('D', 'm7b5')","D,F,G#,C"
"('D', 'm7b9')","D,F,A,C,D#"
"('D', 'm9')","D,F,A,C,E"
"('D', 'm9b5')","D,F,G#,C,E"
"('D', 'm9-Maj7')","D,F,A,C#,E"
"('D', 'madd9')","D,F,A,E"
"('D', 'Maj11')","D,F#,A,C#,E,G"
"('D', 'Maj13')","D,F#,A,C#,E,B"
"('D', 'Maj7')","D,F#,A,C#"
"('D', 'Maj7#11')","D,F#,A,C#,G#"
"('D', 'Maj7#5')","D,F#,A#,C#"
"('D', 'Maj7add13')","D,F#,A,C#,B"
"('D', 'Maj7b5')","D,F#,G#,C"
"('D', 'Maj9')","D,F#,A,C#,E"
"('D', 'Maj9#11')","D,F#,A,C#,E,G#"
"('D', 'Maj9#5')","D,F#,A#,C#,E"
"('D', 'Maj9sus4')","D,G,A,C#,E"
"('D', 'Majb5')","D,F#,G#"
"('D', 'mb5')","D,F,G#"
"('D', 'm-Maj11')","D,F,A,C#,E,G"
"('D', 'm-Maj13')","D,F,A,C#,E,B"
"('D', 'm-Maj7')","D,F,A,C#"
"('D', 'm-Maj7add11')","D,F,A,C#,G"
"('D', 'm-Maj7add13')","D,F,A,C#,B"
"('D', 'tri')","D,F,G#,B"
"('D', 'Majb7')","D,F#,A,B"
"('D', 'Min#5')","D,F,A#"
"('D', 'Dom7')","D,F#,A,C"
"('D', 'Dom7b5')","D,F#,G#,C"
"('D', 'Dom7#5')","D,F#,A#,C"
"('D', 'Dim7')","D,F,G#,B"
"('D', 'm#5')","D,F,A#"
"('D', 'm#7#5')","D,F,A#,C#"
"('D', 'm7#5')","D,F,A#,C#"
"('D', 'Aug-06')","D,F#,A#,B"
"('D#', 'Major')","D#,G,A#"
"('D#', 'Minor')","D#,F#,A#"
"('D#', 'Aug')","D#,G,B"
"('D#', 'Dim')","D#,F#,A"
"('D#', 'Fifth')","D#,A#"
"('D#', 'Fifth_9th')","D#,A#,F"
"('D#', 'Fifth_Octave')","D#,A#,D#"
"('D#', 'Octave')","D#,D#"
"('D#', 'Sus2')","D#,F,A#"
"('D#', 'Sus4')","D#,G#,A#"
"('D#', '11')","D#,G,A#,C#,F,G#"
"('D#', '11b9')","D#,G,A#,C#,E,G#"
"('D#', '13')","D#,G,A#,C#,F,C"
"('D#', '13#9')","D#,G,A#,C#,F#,C"
"('D#', '13b5b9')","D#,G,A,C#,E,C"
"('D#', '13b9')","D#,G,A#,C#,E"
"('D#', '6')","D#,G,A#,C"
"('D#', '6add9')","D#,G,A#,C,F"
"('D#', '6sus4')","D#,G#,A#,C"
"('D#', '7')","D#,G,A#,C#"
"('D#', '7#11')","D#,G,A#,C#,A"
"('D#', '7#5')","D#,G,B,C#"
"('D#', '7#5#9')","D#,G,A#,C#,F#"
"('D#', '7#5b9')","D#,G,A#,C#,E"
"('D#', '7#9')","D#,G,A#,C#,F#"
"('D#', '7add11')","D#,G,A#,C#,G#"
"('D#', '7add13')","D#,G,A#,C#,C"
"('D#', '7b5')","D#,G,A,C#"
"('D#', '7b5b9')","D#,G,A,C#,E"
"('D#', '7b9')","D#,G,A#,C#,E"
"('D#', '7sus4')","D#,G#,A#,C#"
"('D#', '9')","D#,G,A#,C#,F"
"('D#', '9#11')","D#,G,A#,C#,F,A"
"('D#', '9#5')","D#,G,B,C#,F"
"('D#', '9b13')","D#,G,A#,C#,F,C"
"('D#', '9b5')","D#,G,A,C#,F"
"('D#', '9sus4')","D#,G#,A#,C#,F"
"('D#', 'add9')","D#,G,A#,F"
"('D#', 'augsus4')","D#,G#,B"
"('D#', 'm11')","D#,F#,A#,C#,F,G#"
"('D#', 'm13')","D#,F#,A#,C#,F,C"
"('D#', 'm6')","D#,F#,A#,C"
"('D#', 'm6add9')","D#,F#,A#,C,F"
"('D#', 'm7')","D#,F#,A#,C#"
"('D#', 'm7add11')","D#,F#,A#,C#,G#"
"('D#', 'm7add13')","D#,F#,A#,C#,C"
"('D#', 'm7b5')","D#,F#,A,C#"
"('D#', 'm7b9')","D#,F#,A#,C#,E"
"('D#', 'm9')","D#,F#,A#,C#,F"
"('D#', 'm9b5')","D#,F#,A,C#,F"
"('D#', 'm9-Maj7')","D#,F#,A#,D,F"
"('D#', 'madd9')","D#,F#,A#,F"
"('D#', 'Maj11')","D#,G,A#,D,F,G#"
"('D#', 'Maj13')","D#,G,A#,D,F,C"
"('D#', 'Maj7')","D#,G,A#,D"
"('D#', 'Maj7#11')","D#,G,A#,D,A"
"('D#', 'Maj7#5')","D#,G,B,D"
"('D#', 'Maj7add13')","D#,G,A#,D,C"
"('D#', 'Maj7b5')","D#,G,A,C#"
"('D#', 'Maj9')","D#,G,A#,D,F"
"('D#', 'Maj9#11')","D#,G,A#,D,F,A"
"('D#', 'Maj9#5')","D#,G,B,D,F"
"('D#', 'Maj9sus4')","D#,G#,A#,D,F"
"('D#', 'Majb5')","D#,G,A"
"('D#', 'mb5')","D#,F#,A"
"('D#', 'm-Maj11')","D#,F#,A#,D,F,G#"
"('D#', 'm-Maj13')","D#,F#,A#,D,F,C"
"('D#', 'm-Maj7')","D#,F#,A#,D"
"('D#', 'm-Maj7add11')","D#,F#,A#,D,G#"
"('D#', 'm-Maj7add13')","D#,F#,A#,D,C"
"('D#', 'tri')","D#,F#,A,C"
"('D#', 'Majb7')","D#,G,A#,C"
"('D#', 'Min#5')","D#,F#,B"
"('D#', 'Dom7')","D#,G,A#,C#"
"('D#', 'Dom7b5')","D#,G,A,C#"
"('D#', 'Dom7#5')","D#,G,B,C#"
"('D#', 'Dim7')","D#,F#,A,C"
"('D#', 'm#5')","D#,F#,B"
"('D#', 'm#7#5')","D#,F#,B,D"
"('D#', 'm7#5')","D#,F#,B,D"
"('D#', 'Aug-06')","D#,G,B,C"
"('E', 'Major')","E,G#,B"
"('E', 'Minor')","E,G,B"
"('E', 'Aug')","E,G#,C"
"('E', 'Dim')","E,G,A#"
"('E', 'Fifth')","E,B"
"('E', 'Fifth_9th')","E,B,F#"
"('E', 'Fifth_Octave')","E,B,E"
"('E', 'Octave')","E,E"
"('E', 'Sus2')","E,F#,B"
"('E', 'Sus4')","E,A,B"
"('E', '11')","E,G#,B,D,F#,A"
"('E', '11b9')","E,G#,B,D,F,A"
"('E', '13')","E,G#,B,D,F#,C#"
"('E', '13#9')","E,G#,B,D,G,C#"
"('E', '13b5b9')","E,G#,A#,D,F,C#"
"('E', '13b9')","E,G#,B,D,F"
"('E', '6')","E,G#,B,C#"
